brand,page_url,pdf_url,anchor_text,status,saved_path
KIA,https://www.kia.com/mx/showroom/k3-sedan.html,https://www.kia.com/content/dam/kwcms/mx/es/pdf/ncap/Kia-K3-Sedan-2023-4d-GD-ES--Candado-de-impresión.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia-K3-Sedan-2023-4d-GD-ES--Candado-de-impresi_n.pdf
KIA,https://www.kia.com/mx/showroom/k4-hatchback.html,https://www.kia.com/mx/showroom/k4-hatchback/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k4-hatchback.html,https://www.kia.com/content/dam/kwcms/mx/es/pdf/k4-hatchback/Kia_K4__Hatchback_2025_5d_GD_ES_VF.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia_K4__Hatchback_2025_5d_GD_ES_VF.pdf
KIA,https://www.kia.com/mx/showroom/k4-sedan.html,https://www.kia.com/mx/showroom/k4-sedan/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k4-sedan.html,https://www.kia.com/content/dam/kwcms/mx/es/pdf/ncap/Kia_K4_Sedán_2025_4d_GD_ES_Candado_de_impresión_V2.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia_K4_Sed_n_2025_4d_GD_ES_Candado_de_impresi_n_V2.pdf
KIA,https://www.kia.com/mx/showroom/sonet.html,https://www.kia.com/mx/showroom/sonet/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/sonet.html,https://www.kia.com/mx/shopping-tools/request-a-brochure.html/carKey/QY/carKey/QY,Descargar Catálogo,linked,
KIA,https://www.kia.com/mx/showroom/seltos.html,https://www.kia.com/mx/showroom/seltos/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/niro.html,https://www.kia.com/mx/showroom/niro/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k3-hatchback.html#content,https://www.kia.com/mx/showroom/k3-hatchback/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k3-hatchback.html#content,https://www.kia.com/content/dam/kwcms/mx/es/pdf/ncap/Kia-K3-Hatchback-2024-5d-GD-SP-I-NCAP--Candado-de-impresión.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia-K3-Hatchback-2024-5d-GD-SP-I-NCAP--Candado-de-impresi_n.pdf
KIA,https://www.kia.com/mx/showroom/k3-hatchback.html#content,https://www.kia.com/mx/shopping-tools/request-a-brochure.html/carKey/BL7,Descargar Catálogo,linked,
KIA,https://www.kia.com/mx/showroom/k3-sedan.html#content,https://www.kia.com/mx/showroom/k3-sedan/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k3-sedan.html#content,https://www.kia.com/content/dam/kwcms/mx/es/pdf/ncap/Kia-K3-Sedan-2023-4d-GD-ES--Candado-de-impresión.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia-K3-Sedan-2023-4d-GD-ES--Candado-de-impresi_n.pdf
KIA,https://www.kia.com/mx/showroom/k4-hatchback.html#content,https://www.kia.com/mx/showroom/k4-hatchback/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k4-hatchback.html#content,https://www.kia.com/content/dam/kwcms/mx/es/pdf/k4-hatchback/Kia_K4__Hatchback_2025_5d_GD_ES_VF.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia_K4__Hatchback_2025_5d_GD_ES_VF.pdf
KIA,https://www.kia.com/mx/showroom/k4-sedan.html#content,https://www.kia.com/mx/showroom/k4-sedan/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/k4-sedan.html#content,https://www.kia.com/content/dam/kwcms/mx/es/pdf/ncap/Kia_K4_Sedán_2025_4d_GD_ES_Candado_de_impresión_V2.pdf,Ficha de rescate,saved,data/oem_specs/kia/Kia_K4_Sed_n_2025_4d_GD_ES_Candado_de_impresi_n_V2.pdf
KIA,https://www.kia.com/mx/showroom/sonet.html#content,https://www.kia.com/mx/showroom/sonet/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/sonet.html#content,https://www.kia.com/mx/shopping-tools/request-a-brochure.html/carKey/QY/carKey/QY,Descargar Catálogo,linked,
KIA,https://www.kia.com/mx/showroom/seltos.html#content,https://www.kia.com/mx/showroom/seltos/specification.html,Precios y especificaciones,linked,
KIA,https://www.kia.com/mx/showroom/niro.html#content,https://www.kia.com/mx/showroom/niro/specification.html,Precios y especificaciones,linked,
